,Ano,Semana,A-caso,A-obito,B-caso,B-obito,H1N1-caso,H1N1-obito,H3-caso,H3-obito,SRAG-caso,SRAG-obito,NO2,CO,O3,PTS,PI,Cluster
5,2017,12,0,0,1,0,0,0,3,1,26,9,77,0,0,0,12,0
6,2017,12,0,0,1,0,0,0,3,1,26,9,0,0,0,0,14,0
10,2017,13,0,0,1,0,0,0,2,0,25,1,0,0,33,0,0,0
12,2017,18,3,2,1,0,0,0,17,3,54,5,0,0,53,0,0,0
13,2017,18,3,2,1,0,0,0,17,3,54,5,0,0,43,0,0,0
14,2017,18,3,2,1,0,0,0,17,3,54,5,0,0,49,0,0,0
15,2017,18,3,2,1,0,0,0,17,3,54,5,0,0,50,0,0,0
16,2017,19,0,0,0,0,0,0,11,2,50,5,0,0,62,0,0,0
17,2017,19,0,0,0,0,0,0,11,2,50,5,44,0,53,0,0,0
19,2017,21,1,0,1,0,0,0,21,2,41,3,0,0,29,0,30,0
20,2017,21,1,0,1,0,0,0,21,2,41,3,0,0,0,0,30,0
21,2017,21,1,0,1,0,0,0,21,2,41,3,0,11,42,0,0,0
22,2017,21,1,0,1,0,0,0,21,2,41,3,0,0,37,0,0,0
23,2017,22,2,0,1,1,0,0,13,1,51,5,0,0,48,0,0,0
24,2017,22,2,0,1,1,0,0,13,1,51,5,0,0,53,0,0,0
25,2017,22,2,0,1,1,0,0,13,1,51,5,0,0,52,0,0,0
30,2017,26,1,0,0,0,0,0,5,0,15,1,0,0,44,0,0,0
31,2017,26,1,0,0,0,0,0,5,0,15,1,0,0,34,0,0,0
55,2018,11,1,0,0,0,0,0,2,0,0,0,0,0,41,0,0,0
34,2018,3,0,0,0,0,0,0,0,0,10,0,0,0,28,0,0,0
36,2018,4,0,0,0,0,0,0,1,0,12,0,0,0,38,0,0,0
37,2018,4,0,0,0,0,0,0,1,0,12,0,0,0,35,0,0,0
38,2018,4,0,0,0,0,0,0,1,0,12,0,0,0,23,0,0,0
,,Soma=,25,8,14,3,0,0,236,29,786,78,121,11,847,0,86,
,,Média=,1.086956522,0.347826087,0.608695652,0.130434783,0,0,10.26086957,1.260869565,34.17391304,3.391304348,5.260869565,0.47826087,36.82608696,0,3.739130435,
