,Ano,Semana,A-caso,A-obito,B-caso,B-obito,H1N1-caso,H1N1-obito,H3-caso,H3-obito,SRAG-caso,SRAG-obito,NO2,CO,O3,PTS,PI,Cluster
6,2017,12,0,0,1,0,0,0,3,1,26,9,0,0,0,0,14,2
9,2017,13,0,0,1,0,0,0,2,0,25,1,0,0,25,0,40,2
11,2017,13,0,0,1,0,0,0,2,0,25,1,0,0,0,0,48,2
19,2017,21,1,0,1,0,0,0,21,2,41,3,0,0,29,0,30,2
20,2017,21,1,0,1,0,0,0,21,2,41,3,0,0,0,0,30,2
27,2017,25,0,0,2,1,0,0,6,1,22,0,0,0,0,0,50,2
28,2017,26,1,0,0,0,0,0,5,0,15,1,0,0,0,0,34,2
29,2017,26,1,0,0,0,0,0,5,0,15,1,0,0,0,0,31,2
0,2017,7,0,0,1,0,0,0,4,1,23,4,0,0,0,0,34,2
2,2017,8,0,0,0,0,0,0,2,0,17,2,0,0,27,0,42,2
3,2017,8,0,0,0,0,0,0,2,0,17,2,0,0,28,0,35,2
4,2017,8,0,0,0,0,0,0,2,0,17,2,0,0,14,0,36,2
35,2018,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,34,2
,,,0.307692308,0,0.615384615,0.076923077,0,0,5.769230769,0.538461538,22.61538462,2.230769231,0,0,9.461538462,0,35.23076923,
