,Ano,Semana,A-caso,A-obito,B-caso,B-obito,H1N1-caso,H1N1-obito,H3-caso,H3-obito,SRAG-caso,SRAG-obito,NO2,CO,O3,PTS,PI,Cluster
5,2017,12,0,0,1,0,0,0,3,1,26,9,77,0,0,0,12,0
6,2017,12,0,0,1,0,0,0,3,1,26,9,0,0,0,0,14,0
9,2017,13,0,0,1,0,0,0,2,0,25,1,0,0,25,0,40,0
11,2017,13,0,0,1,0,0,0,2,0,25,1,0,0,0,0,48,0
19,2017,21,1,0,1,0,0,0,21,2,41,3,0,0,29,0,30,0
20,2017,21,1,0,1,0,0,0,21,2,41,3,0,0,0,0,30,0
27,2017,25,0,0,2,1,0,0,6,1,22,0,0,0,0,0,50,0
28,2017,26,1,0,0,0,0,0,5,0,15,1,0,0,0,0,34,0
29,2017,26,1,0,0,0,0,0,5,0,15,1,0,0,0,0,31,0
0,2017,7,0,0,1,0,0,0,4,1,23,4,0,0,0,0,34,0
2,2017,8,0,0,0,0,0,0,2,0,17,2,0,0,27,0,42,0
3,2017,8,0,0,0,0,0,0,2,0,17,2,0,0,28,0,35,0
4,2017,8,0,0,0,0,0,0,2,0,17,2,0,0,14,0,36,0
35,2018,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,34,0
,,,4,0,9,1,0,0,78,8,320,38,77,0,123,0,470,
,,,0.285714286,0,0.642857143,0.071428571,0,0,5.571428571,0.571428571,22.85714286,2.714285714,5.5,0,8.785714286,0,33.57142857,
