,Ano,Semana,A-caso,A-obito,B-caso,B-obito,H1N1-caso,H1N1-obito,H3-caso,H3-obito,SRAG-caso,SRAG-obito,NO2,CO,O3,PTS,PI,Cluster
12,2017,18,3,2,1,0,0,0,17,3,54,5,0,0,53,0,0,1
13,2017,18,3,2,1,0,0,0,17,3,54,5,0,0,43,0,0,1
14,2017,18,3,2,1,0,0,0,17,3,54,5,0,0,49,0,0,1
15,2017,18,3,2,1,0,0,0,17,3,54,5,0,0,50,0,0,1
16,2017,19,0,0,0,0,0,0,11,2,50,5,0,0,62,0,0,1
17,2017,19,0,0,0,0,0,0,11,2,50,5,44,0,53,0,0,1
21,2017,21,1,0,1,0,0,0,21,2,41,3,0,11,42,0,0,1
22,2017,21,1,0,1,0,0,0,21,2,41,3,0,0,37,0,0,1
23,2017,22,2,0,1,1,0,0,13,1,51,5,0,0,48,0,0,1
24,2017,22,2,0,1,1,0,0,13,1,51,5,0,0,53,0,0,1
25,2017,22,2,0,1,1,0,0,13,1,51,5,0,0,52,0,0,1
,,,20,8,9,3,0,0,171,23,551,51,44,11,542,0,0,
,,,1.818181818,0.727272727,0.818181818,0.272727273,0,0,15.54545455,2.090909091,50.09090909,4.636363636,4,1,49.27272727,0,0,
