,Ano,Semana,A-caso,A-obito,B-caso,B-obito,H1N1-caso,H1N1-obito,H3-caso,H3-obito,SRAG-caso,SRAG-obito,NO2,CO,O3,PTS,PI,Cluster
10,2017,13,0,0,1,0,0,0,2,0,25,1,0,0,33,0,0,2
30,2017,26,1,0,0,0,0,0,5,0,15,1,0,0,44,0,0,2
31,2017,26,1,0,0,0,0,0,5,0,15,1,0,0,34,0,0,2
50,2018,10,0,0,0,0,0,0,0,0,2,0,0,0,39,0,24,2
52,2018,10,0,0,0,0,0,0,0,0,2,0,0,0,33,0,16,2
55,2018,11,1,0,0,0,0,0,2,0,0,0,0,0,41,0,0,2
34,2018,3,0,0,0,0,0,0,0,0,10,0,0,0,28,0,0,2
36,2018,4,0,0,0,0,0,0,1,0,12,0,0,0,38,0,0,2
37,2018,4,0,0,0,0,0,0,1,0,12,0,0,0,35,0,0,2
38,2018,4,0,0,0,0,0,0,1,0,12,0,0,0,23,0,0,2
39,2018,8,0,0,0,0,0,0,1,0,4,0,0,0,21,0,28,2
40,2018,8,0,0,0,0,0,0,1,0,4,0,0,0,21,0,21,2
41,2018,8,0,0,0,0,0,0,1,0,4,0,0,0,20,0,18,2
42,2018,8,0,0,0,0,0,0,1,0,4,0,0,0,21,0,21,2
43,2018,9,0,0,0,0,0,0,0,0,2,0,0,0,39,0,22,2
44,2018,9,0,0,0,0,0,0,0,0,2,0,0,0,35,0,30,2
,,,3,0,1,0,0,0,21,0,125,3,0,0,505,0,180,
,,,0.1875,0,0.0625,0,0,0,1.3125,0,7.8125,0.1875,0,0,31.5625,0,11.25,
