,A-caso,A-obito,Ano,B-caso,B-obito,H1N1-caso,H1N1-obito,H3-caso,H3-obito,SRAG-caso,SRAG-obito,Semana,NO2,CO,O3,PTS,PI,Cluster
10,0,0,2017,1,0,0,0,2,0,25,1,13,0.0,0.0,33.0,0.0,0.0,3
30,1,0,2017,0,0,0,0,5,0,15,1,26,0.0,0.0,44.0,0.0,0.0,3
31,1,0,2017,0,0,0,0,5,0,15,1,26,0.0,0.0,34.0,0.0,0.0,3
50,0,0,2018,0,0,0,0,0,0,2,0,10,0.0,0.0,39.0,0.0,24.0,3
52,0,0,2018,0,0,0,0,0,0,2,0,10,0.0,0.0,33.0,0.0,16.0,3
55,1,0,2018,0,0,0,0,2,0,0,0,11,0.0,0.0,41.0,0.0,0.0,3
34,0,0,2018,0,0,0,0,0,0,10,0,3,0.0,0.0,28.0,0.0,0.0,3
36,0,0,2018,0,0,0,0,1,0,12,0,4,0.0,0.0,38.0,0.0,0.0,3
37,0,0,2018,0,0,0,0,1,0,12,0,4,0.0,0.0,35.0,0.0,0.0,3
38,0,0,2018,0,0,0,0,1,0,12,0,4,0.0,0.0,23.0,0.0,0.0,3
39,0,0,2018,0,0,0,0,1,0,4,0,8,0.0,0.0,21.0,0.0,28.0,3
40,0,0,2018,0,0,0,0,1,0,4,0,8,0.0,0.0,21.0,0.0,21.0,3
41,0,0,2018,0,0,0,0,1,0,4,0,8,0.0,0.0,20.0,0.0,18.0,3
42,0,0,2018,0,0,0,0,1,0,4,0,8,0.0,0.0,21.0,0.0,21.0,3
43,0,0,2018,0,0,0,0,0,0,2,0,9,0.0,0.0,39.0,0.0,22.0,3
44,0,0,2018,0,0,0,0,0,0,2,0,9,0.0,0.0,35.0,0.0,30.0,3
