,Ano,Semana,A-caso,A-obito,B-caso,B-obito,H1N1-caso,H1N1-obito,H3-caso,H3-obito,SRAG-caso,SRAG-obito,NO2,CO,O3,PTS,PI,Cluster
5,2017,12,0,0,1,0,0,0,3,1,26,9,77,0,0,0,12,1
6,2017,12,0,0,1,0,0,0,3,1,26,9,0,0,0,0,14,1
9,2017,13,0,0,1,0,0,0,2,0,25,1,0,0,25,0,40,1
10,2017,13,0,0,1,0,0,0,2,0,25,1,0,0,33,0,0,1
11,2017,13,0,0,1,0,0,0,2,0,25,1,0,0,0,0,48,1
19,2017,21,1,0,1,0,0,0,21,2,41,3,0,0,29,0,30,1
20,2017,21,1,0,1,0,0,0,21,2,41,3,0,0,0,0,30,1
27,2017,25,0,0,2,1,0,0,6,1,22,0,0,0,0,0,50,1
28,2017,26,1,0,0,0,0,0,5,0,15,1,0,0,0,0,34,1
29,2017,26,1,0,0,0,0,0,5,0,15,1,0,0,0,0,31,1
30,2017,26,1,0,0,0,0,0,5,0,15,1,0,0,44,0,0,1
31,2017,26,1,0,0,0,0,0,5,0,15,1,0,0,34,0,0,1
0,2017,7,0,0,1,0,0,0,4,1,23,4,0,0,0,0,34,1
1,2017,8,0,0,0,0,0,0,2,0,17,2,0,0,33,0,36,1
2,2017,8,0,0,0,0,0,0,2,0,17,2,0,0,27,0,42,1
3,2017,8,0,0,0,0,0,0,2,0,17,2,0,0,28,0,35,1
4,2017,8,0,0,0,0,0,0,2,0,17,2,0,0,14,0,36,1
50,2018,10,0,0,0,0,0,0,0,0,2,0,0,0,39,0,24,1
52,2018,10,0,0,0,0,0,0,0,0,2,0,0,0,33,0,16,1
55,2018,11,1,0,0,0,0,0,2,0,0,0,0,0,41,0,0,1
34,2018,3,0,0,0,0,0,0,0,0,10,0,0,0,28,0,0,1
35,2018,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,34,1
36,2018,4,0,0,0,0,0,0,1,0,12,0,0,0,38,0,0,1
37,2018,4,0,0,0,0,0,0,1,0,12,0,0,0,35,0,0,1
38,2018,4,0,0,0,0,0,0,1,0,12,0,0,0,23,0,0,1
39,2018,8,0,0,0,0,0,0,1,0,4,0,0,0,21,0,28,1
40,2018,8,0,0,0,0,0,0,1,0,4,0,0,0,21,0,21,1
41,2018,8,0,0,0,0,0,0,1,0,4,0,0,0,20,0,18,1
42,2018,8,0,0,0,0,0,0,1,0,4,0,0,0,21,0,21,1
43,2018,9,0,0,0,0,0,0,0,0,2,0,0,0,39,0,22,1
44,2018,9,0,0,0,0,0,0,0,0,2,0,0,0,35,0,30,1
,,Soma=,7,0,10,1,0,0,101,8,462,43,77,0,661,0,686,
,,Média=,0.225806452,0,0.322580645,0.032258065,0,0,3.258064516,0.258064516,14.90322581,1.387096774,2.483870968,0,21.32258065,0,22.12903226,
