,A-caso,A-obito,Ano,B-caso,B-obito,H1N1-caso,H1N1-obito,H3-caso,H3-obito,SRAG-caso,SRAG-obito,Semana,NO2,CO,O3,PTS,PI,Cluster
7,0,0,2017,1,0,0,0,2,0,25,1,13,0.0,0.0,73.0,0.0,50.0,0
8,0,0,2017,1,0,0,0,2,0,25,1,13,0.0,0.0,35.0,0.0,47.0,0
18,0,0,2017,0,0,0,0,11,2,50,5,19,0.0,0.0,49.0,0.0,54.0,0
26,0,0,2017,2,1,0,0,6,1,22,0,25,0.0,0.0,39.0,0.0,50.0,0
32,1,0,2017,0,0,0,0,5,0,15,1,26,0.0,0.0,41.0,0.0,47.0,0
33,1,0,2017,0,0,0,0,0,0,0,0,28,0.0,0.0,41.0,0.0,44.0,0
1,0,0,2017,0,0,0,0,2,0,17,2,8,0.0,0.0,33.0,0.0,36.0,0
48,0,0,2018,0,0,0,0,0,0,2,0,10,0.0,0.0,51.0,0.0,26.0,0
49,0,0,2018,0,0,0,0,0,0,2,0,10,0.0,0.0,47.0,0.0,69.0,0
53,1,0,2018,0,0,0,0,2,0,0,0,11,0.0,0.0,69.0,0.0,21.0,0
54,1,0,2018,0,0,0,0,2,0,0,0,11,0.0,0.0,64.0,0.0,43.0,0
56,1,0,2018,0,0,0,0,2,0,0,0,11,0.0,0.0,58.0,0.0,42.0,0
57,1,0,2018,0,0,0,0,2,0,0,0,11,0.0,0.0,34.0,0.0,57.0,0
45,0,0,2018,0,0,0,0,0,0,2,0,9,0.0,0.0,43.0,0.0,34.0,0
46,0,0,2018,0,0,0,0,0,0,2,0,9,0.0,0.0,65.0,0.0,36.0,0
47,0,0,2018,0,0,0,0,0,0,2,0,9,0.0,0.0,71.0,0.0,49.0,0
